frequency_d-1	amplitude_ppm	noise_ppm	SNR
3.74278254	61.573	4.329	14.29
17.81087309	41.614	5.742	7.27
18.01614735	53.047	7.634	6.43
18.53119332	59.284	7.358	7.91
18.74633771	45.121	3.463	13.01
19.31929859	43.840	5.752	7.60
19.96487834	47.193	5.670	8.49
21.99852532	44.180	8.098	5.49
22.10702006	103.411	10.445	10.08
22.55283490	125.980	14.016	9.08
24.46274073	42.626	5.753	7.44
25.06359397	45.376	7.460	6.03
25.98130441	92.072	5.533	16.57
26.92902958	111.310	9.350	11.93
28.19025269	69.000	5.086	13.53
28.48910321	97.554	11.082	8.27
29.90703713	169.714	12.995	12.53
30.04635937	243.320	26.791	9.84
30.30910346	64.729	10.406	6.09
30.93768639	400.328	9.142	44.49
31.82020146	273.528	13.739	20.15
31.93548186	60.968	8.131	7.42
32.46864165	143.403	9.030	15.44
33.29634155	112.240	10.243	11.03
33.77472960	73.959	9.352	9.06
33.84289171	59.898	5.189	11.46
34.18524441	137.244	12.117	11.24
35.13696648	219.937	26.328	8.47
35.21971288	114.264	6.502	18.03
35.53459011	157.952	15.993	10.17
36.83091739	77.589	6.603	11.80
37.39190767	87.089	7.097	12.04
37.91913949	66.394	10.591	6.73
38.11719496	144.994	14.856	9.66
38.21130720	49.418	9.408	5.11
39.02598393	50.090	9.659	4.78
39.24592687	41.180	6.486	6.44
39.98448530	40.207	5.343	7.46
40.18639469	43.378	8.717	4.89
41.09760313	123.895	11.082	11.16
41.46028340	61.463	7.785	8.40
41.57504472	53.210	4.169	13.06
43.18098437	35.925	4.620	7.78
44.38556726	47.762	10.724	4.54
46.32285352	95.065	3.625	26.21
46.89935130	38.201	4.066	9.41
47.18656539	43.579	9.062	4.68
