frequency_d-1	amplitude_ppm	noise_ppm	SNR
3.74215144	60.315	3.037	19.90
17.81161560	46.296	4.354	10.40
18.01890923	51.433	5.777	8.73
18.53187064	58.545	5.002	11.23
18.74793540	44.315	2.938	15.17
19.32228397	49.316	4.262	11.84
19.96403543	51.885	4.425	11.94
22.00212381	45.022	5.403	8.34
22.10752089	105.740	6.563	15.92
22.55204313	127.433	9.447	13.48
24.45978110	46.513	5.251	8.83
25.06249852	44.420	5.196	8.60
25.98163198	96.015	4.133	22.89
26.93082675	108.012	6.911	15.62
28.18896076	73.663	3.757	19.70
28.48802877	93.905	7.818	11.55
29.90868774	164.527	8.770	18.39
30.00578890	52.943	4.876	10.86
30.04448428	248.024	16.886	14.44
30.31229585	57.834	7.146	8.17
30.93785729	406.680	6.957	58.44
31.82028494	273.596	9.575	28.35
31.93907983	59.923	5.953	9.93
32.46721621	145.539	6.389	22.03
33.29682137	110.731	7.027	16.31
33.77158823	64.579	6.976	10.75
33.84247316	62.988	4.198	14.90
34.18492264	139.551	7.789	17.91
35.13649561	222.117	15.980	14.24
35.21918864	112.183	4.639	24.08
35.53177137	148.052	10.360	14.75
36.82853988	75.105	4.625	16.34
37.39151469	86.549	4.701	17.91
37.91039618	63.004	7.200	8.90
38.11834094	140.840	9.859	14.36
39.02727007	47.226	4.877	9.67
39.24688416	46.817	6.381	6.83
39.98357508	37.958	3.584	10.59
40.18581225	43.514	5.585	7.80
41.09735011	120.812	8.383	14.31
41.46172485	63.038	6.130	10.38
41.57199451	58.398	3.565	16.43
43.18313198	38.638	3.371	11.43
44.01949470	44.965	7.310	6.11
44.38902005	40.504	7.356	5.52
46.32256872	95.940	2.668	35.73
47.18422094	45.450	6.622	6.92
