frequency_d-1	amplitude_ppm	noise_ppm	SNR
3.74254012	58.329	1.912	30.49
18.01707550	50.973	3.398	15.07
18.53136973	60.636	3.411	17.98
19.31938740	45.649	2.687	16.99
19.96733273	46.536	3.077	15.19
22.10488861	100.153	5.602	17.85
22.55472659	121.391	6.760	18.04
25.97894920	90.597	3.544	25.42
26.93089402	114.835	3.954	29.22
28.18855291	70.910	2.435	29.21
28.48814776	87.839	4.610	18.77
29.90855214	176.704	7.227	24.14
30.00282561	50.002	4.767	10.56
30.04445547	244.797	12.832	18.51
30.30898579	97.129	6.052	16.26
30.39799090	45.823	4.156	11.02
30.93782885	345.344	6.073	56.83
31.82005805	267.967	6.356	41.55
31.93877404	51.316	4.742	10.83
32.46731407	174.888	4.847	35.79
33.29688926	105.227	4.061	25.89
33.84213220	69.216	3.530	19.52
34.18476585	137.702	4.621	29.78
35.13933698	264.068	12.268	19.63
35.14371760	72.283	5.142	14.05
35.21910193	109.714	6.279	17.32
35.53143680	156.791	9.150	17.79
36.82866130	67.698	2.805	24.17
37.39148368	84.023	3.295	25.47
37.90841090	50.684	5.169	9.80
38.11812293	149.947	6.145	24.49
41.09778553	194.153	6.591	28.78
41.10025996	81.345	5.093	15.71
43.18660617	71.066	3.104	22.66
44.01595028	50.332	4.893	10.30
46.32266647	88.427	1.851	47.62
47.18098495	48.465	4.259	11.38
